time,temperature_2m (°C),relativehumidity_2m (%),precipitation (mm),weathercode (wmo code),surface_pressure (hPa),cloudcover (%),windspeed_10m (m/s)
2020-01-01T00:00,15.1,74,0,2,1009.7,60,1.77
2020-01-01T01:00,15,75,0,1,1009.6,43,1.68
2020-01-01T02:00,14.7,77,0,1,1009.4,26,1.77
2020-01-01T03:00,14.1,80,0,0,1009.1,20,1.46
2020-01-01T04:00,13.5,84,0,0,1008.9,13,1.43
2020-01-01T05:00,12.9,87,0,0,1008.8,8,1.3
2020-01-01T06:00,12.9,85,0,0,1009.2,18,1.21
2020-01-01T07:00,12.4,88,0,0,1010.2,20,1.2
2020-01-01T08:00,13.4,82,0,1,1010.9,37,1.7
2020-01-01T09:00,14.3,79,0,1,1011.1,38,2.11
2020-01-01T10:00,17.1,70,0,1,1011.4,27,2.52
2020-01-01T11:00,18,67,0,0,1010.9,20,2.56
2020-01-01T12:00,18.5,66,0,1,1009.7,33,2.19
2020-01-01T13:00,20.7,59,0,2,1008.4,73,1.66
2020-01-01T14:00,20.9,59,0,3,1007.7,89,1.24
2020-01-01T15:00,21.7,56,0,3,1007.1,88,1
2020-01-01T16:00,21.7,56,0,3,1006.7,87,0.8
2020-01-01T17:00,21.4,66,0,1,1007.1,36,0.4
2020-01-01T18:00,18.6,75,0,2,1007.1,65,0.64
2020-01-01T19:00,18.6,71,0,2,1007.6,50,1.12
2020-01-01T20:00,18.1,72,0,1,1007.9,29,1.49
2020-01-01T21:00,16,83,0,1,1008.2,23,1.51
2020-01-01T22:00,14.4,91,0,0,1008.3,19,1.5
2020-01-01T23:00,13.7,94,0,0,1008.2,18,1.43
2020-01-02T00:00,13.5,94,0,0,1007.8,20,1.3
2020-01-02T01:00,13,96,0,0,1007.6,6,1.08
2020-01-02T02:00,12.8,96,0,0,1007.4,11,0.81
2020-01-02T03:00,12.7,96,0,1,1007.4,26,0.6
2020-01-02T04:00,13.3,94,0,1,1007.3,41,1.02
2020-01-02T05:00,13.3,94,0,1,1007.6,42,1.2
2020-01-02T06:00,13.5,94,0,2,1008.2,79,1.02
2020-01-02T07:00,13.6,94,0,2,1008.7,66,0.98
2020-01-02T08:00,14.9,91,0,2,1009.8,59,0.81
2020-01-02T09:00,15.8,86,0,0,1010.2,20,0.57
2020-01-02T10:00,18.4,73,0,1,1010.3,35,0.51
2020-01-02T11:00,19.1,70,0,2,1009.6,73,0.45
2020-01-02T12:00,19.5,69,0,2,1008.5,78,0.72
2020-01-02T13:00,21.9,60,0,3,1007,80,1.06
2020-01-02T14:00,22.5,58,0,3,1006.2,88,1.2
2020-01-02T15:00,23.1,56,0,3,1005.4,100,1.14
2020-01-02T16:00,23.1,57,0,3,1005.5,92,1.66
2020-01-02T17:00,22.3,64,0,2,1005.5,53,1.66
2020-01-02T18:00,19.9,71,0,1,1005.7,45,1.8
2020-01-02T19:00,18.9,76,0,1,1005.8,27,1.12
2020-01-02T20:00,19.9,71,0,1,1006.6,35,1.14
2020-01-02T21:00,18.6,77,0,1,1006.8,22,1.3
2020-01-02T22:00,15.9,91,0,1,1006.5,26,1.52
2020-01-02T23:00,15.4,93,0,1,1006.2,20,1.48
2020-01-03T00:00,14.8,95,0,1,1006,21,1.58
2020-01-03T01:00,13.4,99,0,0,1005.8,20,1.25
2020-01-03T02:00,13.5,99,0,1,1005.5,46,1.3
2020-01-03T03:00,13.2,100,0,2,1005.6,53,1.42
2020-01-03T04:00,13.1,100,0,2,1005.7,64,1.28
2020-01-03T05:00,13.9,99,0,2,1005.9,59,1.12
2020-01-03T06:00,14,99,0,3,1006,100,0.81
2020-01-03T07:00,14.1,99,0,3,1006.8,100,0.8
2020-01-03T08:00,14.5,97,0,3,1007.3,82,0.7
2020-01-03T09:00,15.1,96,0,1,1007.5,39,0.54
2020-01-03T10:00,20.2,72,0,1,1008.1,36,0.54
2020-01-03T11:00,21.2,69,0,2,1007.1,67,1.1
2020-01-03T12:00,22,64,0,3,1006.2,92,1.39
2020-01-03T13:00,25,53,0,3,1004.8,100,1.08
2020-01-03T14:00,25.1,52,0,3,1004.1,100,0.82
2020-01-03T15:00,25.3,51,0,3,1003.4,100,0.6
2020-01-03T16:00,24.8,53,0,3,1003.2,100,0.86
2020-01-03T17:00,24.3,60,0,3,1003.6,100,0.72
2020-01-03T18:00,20.9,73,0,3,1003.5,93,1.5
2020-01-03T19:00,21.5,70,0,2,1004.2,57,1.22
2020-01-03T20:00,21,71,0,2,1004.7,54,1.51
2020-01-03T21:00,18.8,83,0,1,1004.8,32,1.75
2020-01-03T22:00,17,91,0,1,1005,33,1.77
2020-01-03T23:00,16.1,94,0,1,1005,30,1.65
2020-01-04T00:00,15.5,94,0,1,1004.3,37,1.33
2020-01-04T01:00,15.8,96,0,1,1003.9,29,1.04
2020-01-04T02:00,15.9,96,0,1,1003.8,33,0.92
2020-01-04T03:00,15.7,97,0,2,1003.6,53,0.95
2020-01-04T04:00,14.6,98,0,3,1003.4,100,0.85
2020-01-04T05:00,13.7,100,0,2,1003.5,74,0.85
2020-01-04T06:00,14.1,100,0,3,1004.1,100,0.89
2020-01-04T07:00,15,100,0,3,1004.5,100,0.8
2020-01-04T08:00,15.2,100,0,3,1004.9,100,0.92
2020-01-04T09:00,15.4,100,0,3,1005.5,100,0.86
2020-01-04T10:00,20.8,76,0,1,1006.2,41,1
2020-01-04T11:00,21.9,69,0,1,1005.4,30,1.44
2020-01-04T12:00,23,62,0,1,1004.2,31,1.66
2020-01-04T13:00,25.8,50,0,1,1002.9,35,1.64
2020-01-04T14:00,26.4,48,0,2,1001.6,51,1.5
2020-01-04T15:00,26,50,0,3,1001,97,1.43
2020-01-04T16:00,25.2,54,0,3,1000.6,100,1.21
2020-01-04T17:00,24.6,63,0,3,1001.2,100,0.45
2020-01-04T18:00,22.7,64,0,3,1001.3,100,0.4
2020-01-04T19:00,22.7,65,0,3,1002.3,100,1.02
2020-01-04T20:00,21.1,75,0,3,1002.4,100,1.17
2020-01-04T21:00,20.8,76,0,3,1003.4,91,1.08
2020-01-04T22:00,19.5,83,0,2,1003.4,62,1.12
2020-01-04T23:00,18.5,89,0,1,1003.4,48,1.17
2020-01-05T00:00,18,91,0,1,1003.3,33,1.3
2020-01-05T01:00,17.3,94,0,1,1003.4,43,1.28
2020-01-05T02:00,16.9,95,0,2,1003.2,59,1.28
2020-01-05T03:00,16.6,95,0,2,1003.2,65,1.12
2020-01-05T04:00,16.2,97,0,2,1002.9,69,1.04
2020-01-05T05:00,15.9,97,0,2,1003.1,74,1
2020-01-05T06:00,16.2,97,0,2,1003.5,70,0.9
2020-01-05T07:00,16.1,97,0,2,1004.1,70,1.32
2020-01-05T08:00,15.8,95,0,1,1004.2,31,1.63
2020-01-05T09:00,17.1,86,0,1,1004.8,24,1.55
2020-01-05T10:00,20.9,65,0,0,1005.1,13,3.07
2020-01-05T11:00,21.8,63,0,0,1004.4,2,2.95
2020-01-05T12:00,22.2,62,0,0,1003.6,2,2.56
2020-01-05T13:00,24.8,53,0,0,1002.7,1,2.13
2020-01-05T14:00,25.1,53,0,1,1002.2,35,2.3
2020-01-05T15:00,24.9,55,0,2,1002.1,57,2.28
2020-01-05T16:00,24,59,0,3,1001.7,98,2.51
2020-01-05T17:00,23.9,60,0,3,1002.3,95,2
2020-01-05T18:00,22.1,68,0,3,1002.4,88,1.56
2020-01-05T19:00,22.1,69,0,2,1002.6,68,1.41
2020-01-05T20:00,20.9,74,0,2,1003.3,52,1.36
2020-01-05T21:00,20.3,76,0,1,1003.6,32,1.43
2020-01-05T22:00,19.8,78,0,1,1003.8,36,1.46
2020-01-05T23:00,19.4,79,0,1,1003.7,32,1.43
2020-01-06T00:00,19.1,80,0,1,1003.4,22,1.4
2020-01-06T01:00,18.7,82,0,0,1003.2,9,1.3
2020-01-06T02:00,18.3,84,0,0,1003,5,1.3
2020-01-06T03:00,18.4,82,0,0,1002.6,9,1.3
2020-01-06T04:00,17.9,86,0,0,1002.7,9,1.3
2020-01-06T05:00,18,86,0,0,1002.6,15,1.22
2020-01-06T06:00,17,91,0,1,1003.2,23,1.34
2020-01-06T07:00,17,91,0,0,1003.5,17,1.39
2020-01-06T08:00,17.4,89,0,1,1003.9,20,1.8
2020-01-06T09:00,19.1,82,0,0,1004.4,20,1.36
2020-01-06T10:00,23,64,0,0,1004.6,6,1.4
2020-01-06T11:00,23.9,63,0,0,1004,8,1.7
2020-01-06T12:00,24.1,63,0,0,1003.1,14,1.8
2020-01-06T13:00,26,55,0,2,1001.6,61,2.16
2020-01-06T14:00,25.5,56,0,2,1001,62,2.1
2020-01-06T15:00,25.5,56,0,3,1000.2,100,2.2
2020-01-06T16:00,24.7,59,0,3,1000,100,2.12
2020-01-06T17:00,24.5,60,0,3,1000.3,89,1.9
2020-01-06T18:00,23,67,0,3,1000.4,100,1.58
2020-01-06T19:00,22.8,69,0,3,1000.4,92,1.66
2020-01-06T20:00,22.2,73,0,2,1000.5,68,1.7
2020-01-06T21:00,21.7,75,0,1,1000.6,23,1.75
2020-01-06T22:00,20.4,81,0,0,1000.6,13,1.64
2020-01-06T23:00,19.8,84,0,0,1000.3,6,1.92
