time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),windspeed_10m_max (m/s)
2020/1/1,3,21.7,12.4,16.6,0,0,2.56
2020/1/2,3,23.1,12.7,17.3,0,0,1.8
2020/1/3,3,25.3,13.1,18.4,0,0,1.77
2020/1/4,3,26.4,13.7,19.6,0,0,1.66
2020/1/5,3,25.1,15.8,19.9,0,0,3.07
2020/1/6,3,26,17,21.2,0,0,2.2
2020/1/7,51,27.9,18.6,22.4,0.2,2,3.35
