time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),precipitation_sum (mm),precipitation_hours (h),windspeed_10m_max (m/s)
2021-04-01,51,33.0,23.1,27.2,0.1,1,4.96
2021-04-02,3,33.6,22.6,27.5,0.0,0,3.16
2021-04-03,3,34.6,23.3,28.4,0.0,0,1.61
2021-04-04,51,28.1,21.2,24.9,0.1,1,4.34
2021-04-05,51,23.5,19.1,20.9,0.5,4,2.94
2021-04-06,3,30.5,19.4,24.6,0.0,0,1.94
2021-04-07,3,29.4,19.7,24.1,0.0,0,3.0
2021-04-08,51,23.8,19.0,21.2,1.8,9,3.38
2021-04-09,53,24.3,17.9,20.3,0.9,4,3.47
2021-04-10,2,29.5,17.1,23.0,0.0,0,1.84
2021-04-11,2,33.1,19.2,25.2,0.0,0,2.1
2021-04-12,3,31.0,19.2,25.5,0.0,0,3.44
2021-04-13,51,33.3,21.2,27.1,0.5,4,2.33
2021-04-14,51,31.1,24.0,26.8,0.5,5,3.51
2021-04-15,53,27.1,21.4,23.8,1.2,5,3.16
2021-04-16,53,25.5,21.4,23.1,3.8,15,1.92
2021-04-17,51,27.9,20.8,24.1,0.1,1,3.02
2021-04-18,51,30.4,22.3,25.4,0.5,4,2.35
2021-04-19,61,23.1,19.9,20.9,5.1,8,2.6
2021-04-20,51,26.9,18.9,22.7,0.2,2,2.35
2021-04-21,3,33.4,19.0,25.7,0.0,0,3.21
2021-04-22,2,32.8,20.4,26.6,0.0,0,3.2
2021-04-23,51,34.1,24.1,28.8,0.3,3,3.5
2021-04-24,51,32.7,23.9,27.3,0.5,4,3.48
2021-04-25,61,25.3,20.8,23.2,9.6,12,3.23
2021-04-26,55,27.9,21.0,23.8,1.9,3,2.42
2021-04-27,55,25.5,20.7,22.3,6.3,21,1.84
2021-04-28,61,24.3,19.5,21.9,18.3,24,3.2
2021-04-29,51,28.9,19.0,22.7,0.4,2,3.36
2021-04-30,1,32.6,16.5,24.4,0.0,0,2.33
2021-05-01,2,34.5,19.8,26.5,0.0,0,1.84
2021-05-02,51,34.7,21.6,26.8,0.1,1,4.01
2021-05-03,63,24.1,22.2,23.1,14.4,18,2.97
2021-05-04,61,30.4,22.4,25.7,5.9,11,3.55
2021-05-05,53,31.5,22.5,26.7,1.3,5,2.97
2021-05-06,3,31.2,22.8,26.5,0.0,0,2.44
2021-05-07,1,34.2,22.3,28.1,0.0,0,2.97
2021-05-08,51,35.4,23.7,29.0,0.3,3,3.83
2021-05-09,61,36.0,25.2,29.2,4.2,5,3.55
2021-05-10,51,35.0,25.3,29.4,0.1,1,4.2
2021-05-11,51,35.9,25.7,30.2,0.1,1,4.72
2021-05-12,55,34.9,26.7,29.5,3.5,14,4.38
2021-05-13,51,33.8,25.7,29.2,1.6,9,4.37
2021-05-14,53,34.7,26.5,29.6,2.1,8,4.05
2021-05-15,2,36.4,25.7,30.6,0.0,0,4.66
2021-05-16,51,36.9,26.6,31.2,0.2,2,4.61
2021-05-17,61,33.6,27.2,29.5,4.3,10,3.89
2021-05-18,53,32.8,25.8,28.6,4.6,11,3.89
2021-05-19,61,35.1,26.1,29.8,4.0,12,4.92
2021-05-20,51,35.9,27.0,30.7,0.3,3,5.1
2021-05-21,53,35.3,27.6,30.8,3.5,11,4.49
2021-05-22,51,36.8,26.9,31.5,0.8,8,3.98
2021-05-23,51,37.6,26.7,31.6,1.4,11,3.81
2021-05-24,63,32.9,27.1,29.3,15.4,15,2.11
2021-05-25,65,31.7,25.8,27.8,23.6,11,2.3
2021-05-26,51,32.8,25.8,29.0,1.1,7,3.76
2021-05-27,51,34.7,25.9,29.9,1.4,8,3.89
2021-05-28,51,36.0,26.6,31.2,0.3,1,4.79
2021-05-29,65,32.4,26.8,28.8,16.2,16,5.13
2021-05-30,61,34.4,25.8,29.2,7.2,12,4.87
2021-05-31,63,29.4,24.8,26.3,29.3,21,2.62
2021-06-01,63,27.9,24.4,25.7,30.3,22,2.4
2021-06-02,63,28.7,24.6,26.0,16.3,19,1.91
2021-06-03,53,33.7,24.6,28.9,2.0,10,3.42
2021-06-04,63,27.6,22.3,25.5,16.1,17,3.62
2021-06-05,51,30.4,21.6,25.7,0.1,1,2.56
2021-06-06,61,32.7,23.3,27.7,2.9,5,3.64
2021-06-07,61,32.8,24.6,28.2,3.6,8,2.33
2021-06-08,63,32.2,24.8,28.3,5.7,11,3.04
2021-06-09,65,30.6,25.2,27.7,19.2,11,2.3
2021-06-10,61,33.7,25.7,28.6,4.1,9,3.06
2021-06-11,65,31.8,26.3,28.4,10.5,11,4.18
2021-06-12,63,30.7,26.0,27.8,8.3,13,4.59
2021-06-13,53,32.4,25.6,28.4,2.4,14,3.81
2021-06-14,61,32.0,26.6,28.7,4.0,10,4.12
2021-06-15,51,33.3,26.2,29.4,1.3,9,3.36
2021-06-16,53,33.2,26.6,29.5,2.2,10,3.45
2021-06-17,51,34.2,26.7,30.0,1.8,10,3.98
2021-06-18,51,34.5,27.4,30.6,1.1,7,4.2
2021-06-19,53,34.8,27.8,30.9,2.0,10,4.48
2021-06-20,53,35.3,27.6,30.7,2.6,11,3.8
2021-06-21,61,33.7,26.5,29.2,4.4,14,3.68
2021-06-22,63,26.8,24.7,25.9,49.1,22,2.05
2021-06-23,63,29.7,24.5,26.1,44.6,24,2.1
2021-06-24,63,27.6,24.3,25.4,9.6,17,2.55
2021-06-25,53,29.9,24.7,26.4,3.7,13,2.56
2021-06-26,53,30.5,25.4,27.4,2.2,11,3.16
2021-06-27,63,31.9,25.9,27.8,9.3,11,3.66
2021-06-28,61,29.4,25.7,26.8,15.6,20,3.55
2021-06-29,63,30.0,26.0,27.3,9.8,17,3.68
2021-06-30,51,33.0,26.0,28.8,2.2,11,4.83
2021-07-01,53,32.6,27.0,29.3,1.8,9,4.65
2021-07-02,53,32.9,27.7,29.6,2.4,10,3.99
2021-07-03,51,33.7,27.7,30.0,1.6,8,3.76
2021-07-04,51,34.6,27.0,30.2,0.7,4,3.45
2021-07-05,51,34.6,25.4,29.7,0.9,6,2.97
2021-07-06,61,33.2,26.0,28.4,4.3,10,2.42
2021-07-07,63,32.5,25.6,28.4,5.4,10,4.26
2021-07-08,51,33.7,26.4,29.7,1.3,6,2.62
2021-07-09,51,34.4,25.1,29.8,0.2,2,2.2
2021-07-10,3,34.1,25.2,29.7,0.0,0,2.7
2021-07-11,51,34.0,25.8,29.8,0.1,1,3.2
2021-07-12,51,34.4,26.5,30.1,1.7,8,3.16
2021-07-13,53,33.9,26.4,29.8,2.4,11,2.52
2021-07-14,53,35.4,26.5,30.5,1.1,5,2.83
2021-07-15,53,35.3,26.4,29.9,1.5,8,2.5
2021-07-16,63,34.4,24.8,27.8,13.1,15,2.2
2021-07-17,53,32.7,24.5,27.8,1.7,6,2.73
2021-07-18,63,33.5,25.2,28.8,4.6,4,3.19
2021-07-19,61,29.7,25.5,27.4,11.7,18,4.93
2021-07-20,63,29.2,24.7,26.2,24.2,24,2.92
2021-07-21,51,31.6,25.7,27.8,1.8,11,4.19
2021-07-22,2,34.1,24.3,28.9,0.0,0,2.14
2021-07-23,53,36.6,25.1,30.2,2.9,6,2.62
2021-07-24,61,35.5,25.5,29.8,5.5,9,2.52
2021-07-25,51,34.4,25.9,30.0,0.5,5,2.55
2021-07-26,51,35.2,26.5,30.5,0.6,5,2.24
2021-07-27,2,36.4,27.3,31.1,0.0,0,3.45
2021-07-28,51,36.2,27.1,30.8,1.2,5,3.05
2021-07-29,63,32.9,26.1,28.5,7.3,10,2.83
2021-07-30,61,32.1,25.8,27.8,9.2,20,2.67
2021-07-31,63,34.1,25.8,28.4,7.2,13,3.32
2021-08-01,61,34.5,25.8,29.2,6.0,16,3.06
2021-08-02,63,34.0,26.4,29.3,20.3,8,2.12
2021-08-03,63,33.1,25.2,27.8,13.6,17,3.12
2021-08-04,61,33.3,25.8,28.5,5.8,12,4.05
2021-08-05,65,28.6,26.0,27.0,49.7,19,3.67
2021-08-06,63,31.2,26.1,27.7,28.2,17,3.36
2021-08-07,63,34.4,25.8,29.3,6.7,7,2.28
2021-08-08,63,33.4,27.0,28.9,11.6,15,2.12
2021-08-09,53,31.9,26.6,28.2,4.0,15,3.04
2021-08-10,63,30.7,25.8,27.8,11.0,15,2.32
2021-08-11,63,32.6,26.0,28.1,6.9,13,2.62
2021-08-12,63,33.1,26.7,28.7,10.4,13,2.67
2021-08-13,55,32.8,26.7,28.6,2.7,8,2.82
2021-08-14,61,31.3,26.1,27.6,5.9,13,2.48
2021-08-15,61,30.9,25.6,27.3,8.0,14,2.85
2021-08-16,63,32.2,25.2,28.0,5.1,8,2.27
2021-08-17,53,34.3,25.5,29.1,1.8,6,2.38
2021-08-18,61,28.8,24.9,26.7,7.1,13,1.25
2021-08-19,63,33.6,24.9,27.8,6.4,7,2.1
2021-08-20,53,33.0,25.3,28.5,2.5,10,2.09
2021-08-21,63,33.3,26.0,28.9,5.8,9,2.51
2021-08-22,61,33.7,25.9,29.3,3.4,7,2.31
2021-08-23,51,33.7,26.4,29.5,1.3,10,3.05
2021-08-24,53,32.4,26.7,29.0,4.1,12,3.19
2021-08-25,63,32.3,25.8,28.7,8.7,9,2.61
2021-08-26,61,33.1,25.7,28.9,4.1,10,2.42
2021-08-27,63,31.5,23.8,27.2,3.0,1,4.47
2021-08-28,61,31.9,23.3,27.2,3.7,5,2.19
2021-08-29,51,33.1,24.6,28.6,0.2,2,2.33
2021-08-30,63,33.6,24.1,28.2,4.9,6,2.37
2021-08-31,63,30.7,25.6,27.3,9.5,13,1.36
2021-09-01,61,32.5,25.1,27.8,4.3,10,2.92
2021-09-02,53,33.5,24.4,28.1,2.7,6,1.6
2021-09-03,61,33.8,25.4,28.7,4.5,8,1.57
2021-09-04,55,33.3,25.3,28.7,2.4,9,1.75
2021-09-05,61,34.0,25.2,28.8,2.6,3,2.2
2021-09-06,65,32.6,25.2,28.2,28.2,9,2.14
2021-09-07,61,34.1,25.0,28.8,3.2,10,1.61
2021-09-08,61,33.5,25.1,28.5,5.0,13,1.46
2021-09-09,53,34.8,24.7,29.2,2.4,9,1.98
2021-09-10,53,33.8,25.3,29.4,2.4,10,1.33
2021-09-11,51,35.3,26.4,30.2,0.4,3,3.04
2021-09-12,1,34.2,26.2,30.1,0.0,0,2.43
2021-09-13,51,35.2,25.9,29.9,0.6,5,1.84
2021-09-14,51,32.8,26.1,28.7,0.7,5,2.24
2021-09-15,51,33.1,25.1,28.9,0.3,3,2.95
2021-09-16,51,34.2,25.0,28.7,0.1,1,2.48
2021-09-17,63,33.8,24.7,28.1,4.6,2,1.77
2021-09-18,51,33.4,25.1,28.7,1.2,8,2.2
2021-09-19,51,33.0,26.4,29.4,1.4,8,2.73
2021-09-20,61,31.5,25.4,28.4,3.5,7,2.06
2021-09-21,63,34.0,24.8,28.3,3.8,7,2.0
2021-09-22,63,32.3,25.2,28.0,4.1,6,2.88
2021-09-23,51,33.1,25.3,28.4,0.2,2,3.08
2021-09-24,51,34.0,24.3,28.6,0.7,5,3.2
2021-09-25,53,34.8,24.4,28.7,0.6,2,2.22
2021-09-26,2,35.2,23.9,28.9,0.0,0,1.58
2021-09-27,51,33.9,24.3,28.7,0.4,3,1.66
2021-09-28,51,34.1,25.2,28.8,1.3,10,1.63
2021-09-29,51,35.7,26.7,29.9,0.7,5,2.05
2021-09-30,63,36.3,26.3,29.6,5.7,6,1.92
2021-10-01,63,32.4,25.3,27.5,11.0,11,1.9
2021-10-02,61,33.7,24.7,27.8,10.1,12,1.84
2021-10-03,55,33.1,24.9,28.1,2.4,7,2.25
2021-10-04,2,33.9,23.7,27.9,0.0,0,2.47
2021-10-05,1,34.4,23.1,28.2,0.0,0,3.08
2021-10-06,2,35.3,22.2,28.6,0.0,0,3.13
2021-10-07,51,34.4,24.7,28.6,0.4,2,4.83
2021-10-08,63,27.2,24.2,25.5,69.6,22,4.52
2021-10-09,63,26.6,23.9,25.2,52.5,24,5.07
2021-10-10,53,32.2,23.7,27.5,2.5,6,3.5
2021-10-11,1,29.6,22.7,26.5,0.0,0,6.52
2021-10-12,51,24.4,21.9,23.1,0.5,3,8.41
2021-10-13,61,26.0,21.9,24.1,16.5,22,6.49
2021-10-14,51,29.1,23.4,25.6,1.0,6,3.13
2021-10-15,63,25.3,22.9,24.0,42.6,20,2.96
2021-10-16,3,26.4,21.1,23.4,0.0,0,5.61
2021-10-17,3,22.4,18.2,20.4,0.0,0,5.85
2021-10-18,3,25.6,17.0,20.4,0.0,0,3.31
2021-10-19,3,29.1,17.4,23.0,0.0,0,1.97
2021-10-20,3,29.9,21.3,25.2,0.0,0,2.57
2021-10-21,51,23.7,15.7,19.3,0.9,7,5.03
2021-10-22,53,17.3,14.2,15.8,2.9,15,5.24
2021-10-23,3,18.3,15.8,16.9,0.0,0,3.23
2021-10-24,3,21.9,16.6,18.6,0.0,0,4.47
2021-10-25,3,24.6,16.7,20.1,0.0,0,3.09
2021-10-26,3,28.8,17.0,22.7,0.0,0,2.56
2021-10-27,3,28.8,21.6,24.4,0.0,0,2.55
2021-10-28,51,28.2,22.0,24.2,0.4,2,2.56
2021-10-29,3,28.3,20.6,23.9,0.0,0,2.27
2021-10-30,51,22.8,19.9,21.0,1.2,8,2.95
2021-10-31,53,25.1,18.6,21.8,2.4,12,2.24
2021-11-01,3,27.7,19.2,23.2,0.0,0,2.55
2021-11-02,3,27.0,20.4,23.4,0.0,0,2.52
2021-11-03,3,26.2,21.3,23.3,0.0,0,2.93
2021-11-04,3,28.0,20.7,24.2,0.0,0,1.68
2021-11-05,51,30.3,21.0,25.2,0.4,4,2.77
2021-11-06,3,29.5,21.5,25.1,0.0,0,1.71
2021-11-07,61,29.3,16.4,24.3,5.8,12,5.71
2021-11-08,3,17.5,13.3,15.3,0.0,0,7.2
2021-11-09,2,21.0,12.4,15.8,0.0,0,4.87
2021-11-10,2,22.7,13.1,17.0,0.0,0,4.09
2021-11-11,1,24.2,10.9,17.1,0.0,0,2.92
2021-11-12,51,23.8,14.7,18.8,0.6,3,2.82
2021-11-13,1,24.1,15.3,19.2,0.0,0,3.27
2021-11-14,0,24.9,13.9,18.4,0.0,0,3.5
2021-11-15,2,22.1,13.6,17.6,0.0,0,1.8
2021-11-16,51,25.3,14.2,19.8,0.2,2,2.55
2021-11-17,3,24.9,17.4,20.2,0.0,0,3.41
2021-11-18,51,21.6,16.8,18.7,0.3,3,3.23
2021-11-19,3,26.6,15.9,20.5,0.0,0,1.58
2021-11-20,3,28.0,18.2,22.3,0.0,0,2.28
2021-11-21,3,28.3,17.9,22.7,0.0,0,2.2
2021-11-22,51,21.2,12.7,15.9,0.2,2,6.26
2021-11-23,3,17.0,12.1,13.7,0.0,0,4.84
2021-11-24,2,22.2,11.1,15.7,0.0,0,2.92
2021-11-25,0,25.0,11.9,17.7,0.0,0,2.21
2021-11-26,0,25.7,12.7,18.6,0.0,0,3.22
2021-11-27,1,25.3,13.3,18.7,0.0,0,3.38
2021-11-28,0,26.2,13.6,19.1,0.0,0,3.38
2021-11-29,0,26.9,15.0,20.2,0.0,0,3.51
2021-11-30,0,22.0,13.9,18.4,0.0,0,6.94
2021-12-01,1,19.1,10.9,14.2,0.0,0,5.07
2021-12-02,1,20.3,8.3,13.4,0.0,0,3.88
2021-12-03,1,21.6,7.1,13.7,0.0,0,4.37
2021-12-04,1,21.8,7.2,13.6,0.0,0,2.88
2021-12-05,1,22.4,7.4,14.0,0.0,0,2.92
2021-12-06,1,23.0,8.2,14.9,0.0,0,3.76
2021-12-07,1,24.3,9.4,16.5,0.0,0,3.54
2021-12-08,3,26.0,11.6,18.5,0.0,0,2.2
2021-12-09,2,24.8,12.6,18.0,0.0,0,2.73
2021-12-10,0,25.6,12.1,18.0,0.0,0,2.38
2021-12-11,1,26.6,13.2,18.8,0.0,0,2.47
2021-12-12,0,25.6,13.4,18.7,0.0,0,5.12
2021-12-13,1,21.3,13.8,16.5,0.0,0,4.4
2021-12-14,3,24.3,12.0,17.8,0.0,0,1.92
2021-12-15,51,23.6,17.1,20.4,1.3,10,3.29
2021-12-16,55,27.2,18.5,22.1,4.3,15,2.1
2021-12-17,53,20.5,14.2,18.2,2.2,5,5.63
2021-12-18,3,19.2,12.9,15.2,0.0,0,4.56
2021-12-19,3,18.4,10.3,14.1,0.0,0,3.61
2021-12-20,61,14.9,11.7,13.3,8.3,16,3.25
2021-12-21,63,15.5,12.0,13.6,21.6,17,3.58
2021-12-22,3,20.2,13.6,16.5,0.0,0,2.64
2021-12-23,53,20.4,15.3,17.1,1.2,5,1.66
2021-12-24,51,22.6,15.7,18.2,0.3,3,2.64
2021-12-25,2,19.2,13.1,15.7,0.0,0,4.27
2021-12-26,53,13.0,5.9,10.7,2.1,7,5.07
2021-12-27,53,11.3,4.9,7.7,3.4,9,4.46
2021-12-28,3,16.0,8.0,11.4,0.0,0,3.0
2021-12-29,3,17.9,9.4,13.2,0.0,0,3.71
2021-12-30,2,19.7,11.2,14.5,0.0,0,3.44
2021-12-31,3,19.9,11.1,14.9,0.0,0,3.18
2022-01-01,1,21.5,10.9,15.7,0.0,0,2.31
2022-01-01,1,21.5,10.9,15.7,0.0,0,2.31
2022-01-02,2,22.0,11.1,15.8,0.0,0,3.04
2022-01-03,1,23.7,10.6,16.4,0.0,0,2.2
2022-01-04,3,25.5,11.5,17.5,0.0,0,1.87
2022-01-05,53,25.1,16.2,20.1,2.3,9,2.69
2022-01-06,2,21.8,15.2,17.8,0.0,0,4.3
2022-01-07,2,20.8,13.1,16.2,0.0,0,3.4
2022-01-08,3,21.0,10.6,15.3,0.0,0,2.64
2022-01-09,2,17.3,11.8,14.3,0.0,0,3.34
2022-01-10,3,17.9,11.1,14.2,0.0,0,3.74
2022-01-11,51,14.9,10.2,12.4,0.3,3,5.44
2022-01-12,3,16.9,9.8,13.3,0.0,0,2.47
2022-01-13,3,18.0,11.4,14.4,0.0,0,4.18
2022-01-14,3,17.9,8.8,13.6,0.0,0,1.97
2022-01-15,3,22.8,11.6,17.2,0.0,0,1.52
2022-01-16,3,26.0,13.1,18.5,0.0,0,2.25
2022-01-17,3,19.6,13.5,15.8,0.0,0,3.52
2022-01-18,51,17.5,12.0,14.1,0.1,1,2.83
2022-01-19,3,19.6,11.2,14.6,0.0,0,2.97
2022-01-20,1,22.5,8.0,15.0,0.0,0,2.05
2022-01-21,51,24.8,12.7,17.9,0.2,2,2.24
2022-01-22,53,19.7,15.5,17.1,4.0,14,1.8
2022-01-23,51,20.6,15.9,18.1,0.8,6,1.51
2022-01-24,51,19.4,15.7,17.5,1.3,7,3.4
2022-01-25,3,21.1,13.1,16.3,0.0,0,3.01
2022-01-26,51,23.2,14.5,18.2,0.2,2,1.8
2022-01-27,51,25.7,17.3,20.7,1.2,7,1.73
2022-01-28,3,22.2,14.7,17.7,0.0,0,3.02
2022-01-29,3,17.2,10.2,13.6,0.0,0,4.4
2022-01-30,53,14.6,7.0,10.2,0.8,3,5.42
2022-01-31,51,12.5,7.1,9.0,1.7,9,3.77
2022-02-01,55,9.8,7.9,8.9,6.6,18,3.55
2022-02-02,53,11.4,8.0,9.7,2.8,13,3.45
2022-02-03,61,9.7,7.1,8.4,10.4,14,3.81
2022-02-04,51,13.8,7.9,9.9,0.1,1,4.24
2022-02-05,3,14.6,8.1,11.0,0.0,0,3.26
2022-02-06,3,18.7,10.2,13.8,0.0,0,2.67
2022-02-07,55,16.1,12.3,13.8,4.9,12,3.9
2022-02-08,51,14.4,9.9,11.8,0.2,2,4.17
2022-02-09,51,17.4,9.0,11.8,0.5,3,3.49
2022-02-10,51,19.3,9.9,13.7,1.1,5,2.15
2022-02-11,3,24.4,12.5,18.1,0.0,0,2.13
2022-02-12,3,22.2,13.7,17.1,0.0,0,3.18
2022-02-13,51,15.2,10.6,12.6,1.8,15,4.11
2022-02-14,3,19.2,9.7,13.6,0.0,0,4.21
2022-02-15,3,21.2,11.5,15.7,0.0,0,2.48
2022-02-16,3,23.8,11.8,17.1,0.0,0,2.1
2022-02-17,53,16.9,14.2,15.3,1.8,9,1.9
2022-02-18,53,21.7,10.2,15.9,2.3,4,3.31
2022-02-19,63,10.0,6.2,7.8,20.2,23,5.42
2022-02-20,63,6.3,5.2,5.8,32.8,24,5.5
2022-02-21,61,6.9,5.1,6.0,19.2,23,4.57
2022-02-22,61,8.1,5.9,6.6,12.2,21,4.02
2022-02-23,63,12.0,5.5,7.8,11.6,10,4.41
2022-02-24,3,15.2,6.9,10.4,0.0,0,3.83
2022-02-25,3,20.0,7.4,13.1,0.0,0,1.75
2022-02-26,3,23.1,9.2,15.5,0.0,0,1.84
2022-02-27,2,25.4,11.3,17.6,0.0,0,2.72
2022-02-28,3,25.7,11.4,18.4,0.0,0,2.91
2022-03-01,3,29.0,16.3,21.9,0.0,0,2.52
2022-03-02,51,26.0,16.2,21.0,0.4,3,3.28
2022-03-03,51,27.7,18.3,21.9,0.2,2,2.5
2022-03-04,3,27.9,16.7,21.9,0.0,0,2.21
2022-03-05,51,28.8,16.5,22.5,0.1,1,2.3
2022-03-06,51,24.3,17.9,20.7,1.0,6,2.94
2022-03-07,61,22.0,14.4,18.4,5.5,6,5.83
2022-03-08,0,24.1,10.8,16.1,0.0,0,2.48
2022-03-09,0,25.7,7.4,16.1,0.0,0,2.47
2022-03-10,1,28.2,11.1,19.3,0.0,0,2.06
2022-03-11,3,27.2,14.7,20.8,0.0,0,1.5
2022-03-12,3,29.7,15.1,22.1,0.0,0,3.11
2022-03-13,51,29.1,19.8,23.9,1.1,7,2.33
2022-03-14,3,32.2,18.6,24.8,0.0,0,1.57
2022-03-15,51,32.4,19.7,25.4,0.2,2,2.25
2022-03-16,3,30.3,19.8,24.8,0.0,0,3.14
2022-03-17,53,29.2,22.0,24.8,1.4,9,4.08
2022-03-18,3,28.5,20.8,23.9,0.0,0,3.92
2022-03-19,51,29.6,19.5,24.1,0.8,4,3.31
2022-03-20,53,26.0,20.8,22.6,1.5,4,3.56
2022-03-21,51,30.3,20.6,24.7,0.6,2,4.71
2022-03-22,63,28.2,13.8,23.3,14.5,18,5.08
2022-03-23,63,14.0,12.1,13.0,32.8,24,4.16
2022-03-24,63,17.3,13.0,14.9,28.2,22,1.93
2022-03-25,63,23.5,15.8,20.2,8.5,17,4.18
2022-03-26,63,26.4,18.3,23.6,27.6,22,4.34
2022-03-27,61,22.4,14.9,18.3,7.2,10,4.06
2022-03-28,61,15.3,13.1,14.3,11.1,20,3.05
2022-03-29,63,21.6,14.8,18.0,15.1,11,1.92
2022-03-30,51,28.7,17.3,22.4,1.8,9,2.2
2022-03-31,63,30.0,19.5,24.4,14.2,13,3.91
2022-04-01,51,19.1,13.5,16.1,1.5,7,5.25
2022-04-02,53,14.3,11.2,12.8,6.3,18,4.59
2022-04-03,2,23.8,12.4,17.0,0.0,0,3.8
2022-04-04,0,25.8,9.6,17.3,0.0,0,2.69
2022-04-05,0,27.8,9.3,19.0,0.0,0,1.92
2022-04-06,3,28.3,14.3,21.4,0.0,0,1.73
2022-04-07,51,28.7,17.4,22.9,0.1,1,2.97
2022-04-08,1,30.3,15.6,22.4,0.0,0,1.89
2022-04-09,1,30.2,13.3,21.8,0.0,0,1.9
2022-04-10,0,30.9,14.9,22.8,0.0,0,2.28
2022-04-11,51,30.3,17.7,24.1,0.8,7,1.88
2022-04-12,51,30.4,19.2,25.2,0.1,1,3.07
2022-04-13,53,27.7,22.2,24.2,3.0,11,3.36
2022-04-14,1,28.1,19.0,23.2,0.0,0,3.96
2022-04-15,51,29.3,20.4,24.5,0.3,3,2.55
2022-04-16,53,23.9,17.0,20.9,1.1,3,3.26
2022-04-17,51,25.0,16.0,19.7,0.2,2,3.11
2022-04-18,61,18.8,16.0,17.5,3.6,13,3.01
2022-04-19,53,16.5,14.7,15.5,3.0,14,2.6
2022-04-20,55,21.9,16.0,18.7,2.6,9,1.8
2022-04-21,51,28.8,18.1,23.4,0.1,1,3.19
2022-04-22,3,30.6,20.9,25.3,0.0,0,3.79
2022-04-23,61,30.9,22.1,25.6,2.7,9,2.97
2022-04-24,51,32.0,22.5,26.6,0.7,3,3.58
2022-04-25,51,31.9,24.8,27.7,0.4,3,4.71
2022-04-26,51,30.8,24.1,27.4,1.1,11,4.43
2022-04-27,51,33.1,24.3,28.2,0.3,3,3.64
2022-04-28,51,33.2,25.1,28.5,0.7,6,4.34
2022-04-29,51,32.9,23.3,27.6,0.8,5,3.13
2022-04-30,53,28.7,20.0,24.8,3.3,12,2.79
2022-05-01,63,19.7,15.0,16.8,22.8,24,4.65
2022-05-02,61,19.3,14.5,16.6,10.8,15,4.43
2022-05-03,0,27.9,14.7,20.9,0.0,0,3.36
2022-05-04,2,29.9,17.5,23.2,0.0,0,1.66
2022-05-05,3,31.2,17.9,24.4,0.0,0,1.9
2022-05-06,3,30.5,19.7,25.1,0.0,0,2.1
2022-05-07,63,29.2,21.8,24.4,19.6,15,1.4
2022-05-08,55,24.8,20.9,22.6,6.5,16,1.96
2022-05-09,53,27.2,20.2,23.7,5.0,15,1.36
2022-05-10,61,25.0,21.5,23.5,13.7,21,3.83
2022-05-11,63,26.4,22.9,24.2,25.7,24,3.14
2022-05-12,63,25.0,23.6,24.3,43.0,24,4.89
2022-05-13,65,24.8,21.9,23.8,66.8,24,3.3
2022-05-14,61,23.1,21.1,22.0,5.9,16,2.33
2022-05-15,61,22.0,17.8,20.2,15.0,21,3.8
2022-05-16,53,19.4,16.8,18.0,4.4,13,4.03
2022-05-17,3,27.7,15.2,21.2,0.0,0,2.52
2022-05-18,3,30.2,16.1,23.0,0.0,0,1.77
2022-05-19,3,30.2,21.0,25.5,0.0,0,1.39
2022-05-20,51,31.2,22.7,26.9,0.7,6,2.91
2022-05-21,63,29.1,23.7,25.5,10.7,18,2.14
2022-05-22,53,27.0,22.2,24.3,3.9,16,1.98
2022-05-23,51,28.1,22.1,24.8,1.2,10,2.75
2022-05-24,61,26.5,22.9,24.7,7.6,15,2.1
2022-05-25,51,28.9,23.7,26.2,1.9,17,1.84
2022-05-26,63,30.1,24.2,26.6,18.3,18,2.3
2022-05-27,63,27.6,24.7,25.5,19.9,22,3.61
2022-05-28,63,30.8,24.7,27.1,10.0,19,4.0
2022-05-29,53,31.5,25.5,28.3,2.6,16,3.52
2022-05-30,63,31.3,25.6,27.9,8.5,11,2.56
2022-05-31,55,30.5,25.3,27.2,5.9,14,3.3
2022-06-01,63,30.9,25.0,27.3,9.1,11,3.1
2022-06-02,63,31.3,25.5,27.6,11.8,12,3.93
2022-06-03,63,31.0,25.6,27.0,25.9,21,3.93
2022-06-04,61,30.9,25.9,28.3,8.0,16,4.62
2022-06-05,63,31.6,26.9,28.6,5.9,12,4.18
2022-06-06,63,29.6,24.6,27.1,23.7,17,2.97
2022-06-07,63,29.0,23.8,25.4,38.6,24,3.05
2022-06-08,61,26.4,23.5,24.9,18.3,24,4.0
2022-06-09,61,26.2,23.7,25.0,16.5,23,3.7
2022-06-10,63,29.5,24.6,26.0,25.8,21,3.23
2022-06-11,63,28.0,24.5,25.7,20.3,22,3.81
2022-06-12,63,28.0,23.8,25.6,21.4,23,4.08
2022-06-13,63,29.6,24.8,26.7,29.7,23,3.72
2022-06-14,63,25.6,24.2,24.9,40.7,23,3.61
2022-06-15,61,27.6,23.8,24.8,16.3,23,2.02
2022-06-16,65,26.9,23.5,25.1,33.9,23,3.19
2022-06-17,61,29.2,24.9,26.8,17.1,24,3.27
2022-06-18,53,30.0,25.5,27.3,1.6,10,3.97
2022-06-19,63,30.3,25.8,27.3,6.9,12,3.89
2022-06-20,61,28.7,26.2,27.3,9.2,16,3.81
2022-06-21,51,29.0,26.1,27.5,1.7,11,3.11
